term_id,term
426-prefLabel,Communist propaganda
427-prefLabel,Communist regimes
428-prefLabel,Political movements
430-prefLabel,Communist parties
431-prefLabel,Soviet commissars
432-altLabel,Occupation - by USSR
432-prefLabel,Soviet occupation
433-prefLabel,Compensation
434-prefLabel,Holocaust survivors
435-prefLabel,Identity concealment
436-prefLabel,False identity
437-prefLabel,Liberation
438-prefLabel,Politische Abteilung
439-prefLabel,Concentration of jews
440-prefLabel,Curfew
441-altLabel,Judenhaeuser
441-altLabel,Judenhäuser
441-prefLabel,Jewish houses
442-prefLabel,Movement restrictions against jews
443-prefLabel,Concern for relatives and friends
444-prefLabel,Search for relatives
445-prefLabel,Conferences
446-prefLabel,Foreign relations
447-prefLabel,Politics and economics
449-prefLabel,Confiscation of art
450-prefLabel,Confiscation of documents
451-altLabel,Romanization
451-prefLabel,Romanisation
452-prefLabel,Economic legislation
453-prefLabel,Property
454-prefLabel,Conservatism (Konservativismus)
455-altLabel,Conservative movements and organizations
455-prefLabel,Conservative movements and organisations
457-prefLabel,Conservative parties
458-prefLabel,Conversion (religious)
459-prefLabel,Converts
460-prefLabel,Conversion to judaism
461-prefLabel,Judaism
462-prefLabel,Converts to judaism
463-altLabel,Burning of corpses
463-prefLabel,Corpse burning
464-prefLabel,Corpses
465-prefLabel,Court rulings
466-prefLabel,Courts of law
467-prefLabel,Judges and jurists
468-prefLabel,Legal proceedings
469-altLabel,Volksgerichte
469-prefLabel,Nazi people's courts
470-altLabel,Special Court of Law
470-altLabel,Special courts
470-prefLabel,Sondergerichte
471-prefLabel,Extermination
472-prefLabel,Cover-up
473-altLabel,Craftsmen organizations
473-prefLabel,Craftsmen organisations
474-prefLabel,Professional organisations
476-prefLabel,Trade unions
478-prefLabel,Journals
479-prefLabel,Sports
480-prefLabel,Cultural institutions
481-prefLabel,Libraries
482-altLabel,Cultural organizations
482-prefLabel,Cultural organisations
484-prefLabel,Intellectuals
485-prefLabel,Jewish culture
487-altLabel,Currency offences
487-prefLabel,Currency offenses
488-altLabel,Finanzaemter
488-prefLabel,Finanzämter
489-prefLabel,Death
490-prefLabel,Education
491-prefLabel,Environmental conditions
492-prefLabel,Films
493-prefLabel,Gender
494-altLabel,Humor
494-prefLabel,Humour
495-prefLabel,Jewish calendars
496-prefLabel,Letters
497-prefLabel,Moral dilemmas
498-altLabel,Restrictions on movement
498-prefLabel,Movement restrictions
499-prefLabel,Mutual help
500-prefLabel,Newsreels
501-prefLabel,Official documentation
502-prefLabel,Photographs
503-prefLabel,Posters
504-prefLabel,Poverty
505-prefLabel,Radio and television
506-altLabel,Rumors
506-prefLabel,Rumours
507-prefLabel,Social life
508-prefLabel,Soup kitchens
509-prefLabel,Transfer of information
510-altLabel,Testaments
510-prefLabel,Wills
511-prefLabel,Damaging
514-prefLabel,Deaf people
515-prefLabel,Morbidity
516-prefLabel,Mortality
518-prefLabel,Gas chambers
519-prefLabel,Sonderkommandos
520-prefLabel,Death certificates
521-prefLabel,Death marches
522-prefLabel,Deportations
523-prefLabel,Transfer of jews
524-prefLabel,Decrees and orders
525-prefLabel,Legislation
526-prefLabel,Demography
527-prefLabel,Population census
528-altLabel,De-Nazification
528-prefLabel,De-Nazification
529-prefLabel,Postwar period
530-prefLabel,Denunciations
531-prefLabel,Deportation ships
532-prefLabel,Transports
533-prefLabel,Deportation trains
534-prefLabel,Deportees
535-altLabel,Releases from deportation
535-prefLabel,Release from deportation
538-prefLabel,Religious discrimination
540-prefLabel,Destruction
541-prefLabel,Detainees
542-altLabel,Inmates
542-prefLabel,Prisoners
544-prefLabel,Detention orders
545-altLabel,Releases from detention
545-prefLabel,Release from detention
546-altLabel,Protective custody
546-prefLabel,Schutzhaft
547-prefLabel,Personal narratives
548-prefLabel,Diplomats
549-prefLabel,Embassies and consulates
550-prefLabel,Relief and welfare organisations
551-prefLabel,Mentally disabled
552-prefLabel,Judenkartei
553-prefLabel,Diseases
554-prefLabel,Exclusions
555-altLabel,Insubordination
555-prefLabel,Disobeying of orders
557-prefLabel,Dispersersal of knowledge regarding the holocaust
558-altLabel,DP's
558-prefLabel,Displaced persons
560-prefLabel,Jewish displaced persons
562-altLabel,Checking of documents
562-prefLabel,Document check
563-prefLabel,Kennkarte
565-prefLabel,Dysentery
566-prefLabel,Taxes and levies
567-prefLabel,Statistics
568-prefLabel,Prices and rates
569-prefLabel,War economy
571-prefLabel,Factories
572-prefLabel,Insurance
573-prefLabel,Trade
574-prefLabel,Transportation
575-altLabel,Labor
575-prefLabel,Work
576-prefLabel,Educational institutions
577-altLabel,Educational organizations
577-prefLabel,Educational organisations and frameworks
578-prefLabel,Jewish education
580-altLabel,Jewish Educational organizations and frameworks
580-prefLabel,Jewish educational organisations and frameworks
581-prefLabel,Schools
582-prefLabel,Einsatzgruppen
583-prefLabel,Einsatzkommandos
584-prefLabel,Emigrants
585-prefLabel,Emigration
586-prefLabel,Emigration attempts
587-prefLabel,Emigration ships
588-prefLabel,Illegal emigration
589-prefLabel,Immigrant camps
590-altLabel,Remigration
590-prefLabel,Return migration
591-prefLabel,Emigration certificates
592-prefLabel,Exit visas
593-altLabel,Entrance certificate
593-prefLabel,Visas
594-prefLabel,Emotional abuse
597-altLabel,De-Judaisation
597-prefLabel,Entjudung
598-prefLabel,Evacuation
600-prefLabel,Ghetto life
601-prefLabel,Typhus
602-prefLabel,Escape
603-altLabel,Spying
603-prefLabel,Espionage
604-prefLabel,Intelligence
606-prefLabel,Ethnic identity
607-prefLabel,Eugenics
608-altLabel,Euthanasie
608-prefLabel,Euthanasia
609-prefLabel,Persecution
611-prefLabel,Euthanasia centres
612-prefLabel,Punishments
613-prefLabel,Population transfer
614-prefLabel,Evacuation plan
615-prefLabel,Judenrein
616-prefLabel,Evacuees
617-prefLabel,Evangelical church
618-prefLabel,Executions
619-altLabel,Killing
619-prefLabel,Murder
620-prefLabel,Hanging
621-prefLabel,Exhumations
622-prefLabel,Exile
623-prefLabel,Information concerning extermination
624-prefLabel,Extortions
625-prefLabel,Extradition
626-prefLabel,War criminals
627-prefLabel,Jewish owned factories
629-prefLabel,Family relations
630-prefLabel,Men
631-prefLabel,Women
632-prefLabel,Youths
633-prefLabel,Family camps in forest
634-prefLabel,Marriages
635-prefLabel,Propagation and birth
